timestp, interaction, page, set
1463171993340, , 2, 1
1463172005411, pan, 2, 1
1463172006027, pan, 2, 1
1463172007329, retrieve, 2, 1
1463172015220, overlay, 2, 2
1463172015409, overlay, 2, 2
