timestp, interaction, page, set
1463509390239, resymbolize, 2, 1
1463509449239, resymbolize, 2, 1
1463509500005, resymbolize, 2, 1
1463509503370, resymbolize, 2, 1
1463509509604, resymbolize, 2, 1
